Symbol,Annual_Op_Income,Annual_Depreciation,Quarterly_Op_Income,Quarterly_Depreciation,Complete_Data,Error,Primary_Index,All_Indices
A,4,12,8,16,True,,SP500_TOP30,SP500_TOP30
AAPL,4,12,8,16,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30,DOW"
ABBV,8,4,15,8,True,,SP500_TOP30,SP500_TOP30
ABT,4,4,8,8,True,,SP500_TOP30,SP500_TOP30
ACN,4,14,8,16,True,,SP500_TOP30,SP500_TOP30
ADBE,4,12,8,16,True,,SP500_TOP30,SP500_TOP30
ADI,4,4,8,8,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
ADP,0,12,0,16,False,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
ADSK,4,12,8,16,True,,SP500_TOP30,SP500_TOP30
ALGN,4,12,8,16,True,,SP500_TOP30,SP500_TOP30
AMAT,4,12,8,16,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
AMD,4,8,8,9,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
AMGN,4,12,8,16,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30,DOW"
AMT,5,8,9,12,True,,SP500_TOP30,SP500_TOP30
AMZN,8,12,16,19,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
ANSS,0,0,0,0,False,No facts available,SP500_TOP30,SP500_TOP30
AON,4,4,8,8,True,,SP500_TOP30,SP500_TOP30
APD,4,12,8,16,True,,SP500_TOP30,SP500_TOP30
APH,4,12,8,16,True,,SP500_TOP30,SP500_TOP30
AVGO,4,4,8,8,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
AXP,0,4,0,8,False,,SP500_TOP30,"SP500_TOP30,DOW"
BA,4,8,8,16,True,,DOW,DOW
BAC,0,8,0,16,False,,SP500_TOP30,SP500_TOP30
BIIB,1,12,8,24,False,,SP500_TOP30,SP500_TOP30
BKNG,6,12,8,16,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
BLK,2,6,7,7,True,,SP500_TOP30,SP500_TOP30
BRK.B,0,10,0,18,False,,SP500_TOP30,SP500_TOP30
BSX,8,12,16,24,True,,SP500_TOP30,SP500_TOP30
C,0,4,0,8,False,,SP500_TOP30,SP500_TOP30
CAT,8,12,16,16,True,,SP500_TOP30,"SP500_TOP30,DOW"
CDNS,4,12,8,16,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
CDW,4,16,8,24,True,,SP500_TOP30,SP500_TOP30
CL,8,8,16,16,True,,SP500_TOP30,SP500_TOP30
CMCSA,4,12,8,24,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
CME,4,8,8,8,True,,SP500_TOP30,SP500_TOP30
COST,4,8,8,16,True,,SP500_TOP30,"SP500_TOP30,NASDAQ100_TOP30"
CRM,4,8,8,16,True,,SP500_TOP30,"SP500_TOP30,DOW"
CSCO,4,8,8,0,True,,SP500_TOP30,"SP500_TOP30,DOW"
CTAS,4,12,8,12,True,,SP500_TOP30,SP500_TOP30
CTSH,4,8,8,16,True,,SP500_TOP30,SP500_TOP30
CVX,0,8,0,16,False,,SP500_TOP30,"SP500_TOP30,DOW"
DE,3,8,2,16,True,,SP500_TOP30,SP500_TOP30
DECK,4,6,8,8,True,,SP500_TOP30,SP500_TOP30
DHR,4,10,8,8,True,,SP500_TOP30,SP500_TOP30
DIS,4,12,8,16,True,,DOW,DOW
DOW,0,12,0,24,False,,DOW,DOW
DUK,4,8,8,16,True,,SP500_TOP30,SP500_TOP30
DXCM,4,12,10,16,True,,SP500_TOP30,SP500_TOP30
EA,4,8,8,16,True,,SP500_TOP30,SP500_TOP30
ELV,4,11,8,12,True,,SP500_TOP30,SP500_TOP30
EMR,0,12,0,24,False,,SP500_TOP30,SP500_TOP30
ENPH,4,12,11,16,True,,SP500_TOP30,SP500_TOP30
EOG,8,8,7,16,True,,SP500_TOP30,SP500_TOP30
EPAM,4,16,8,24,True,,SP500_TOP30,SP500_TOP30
